2024-12-12 00:47:45.264 [main] INFO  config.Configuration - Configuration file exists.
2024-12-12 00:48:50.804 [JavaFX Application Thread] INFO  ui.JavaFxInterface - Parameters successfully submitted!
Total Tickets: 10
Ticket Release Rate: 5
Customer Retrieval Rate: 5
Max Capacity: 200
2024-12-12 00:48:58.372 [Vendor 3] INFO  core.TicketPool - Vendor 3 added 5 tickets. Total tickets in pool: 15
2024-12-12 00:48:58.374 [Customer 1] INFO  core.TicketPool - Customer 1 bought 5 tickets. Tickets remaining in pool: 10. Total Tickets Sold: 115
2024-12-12 00:48:58.374 [Vendor 4] INFO  core.TicketPool - Vendor 4 added 5 tickets. Total tickets in pool: 15
2024-12-12 00:48:58.374 [Customer 4] INFO  core.TicketPool - Customer 4 bought 5 tickets. Tickets remaining in pool: 10. Total Tickets Sold: 120
2024-12-12 00:48:59.367 [Vendor 1] INFO  core.TicketPool - Vendor 1 added 5 tickets. Total tickets in pool: 15
2024-12-12 00:48:59.371 [Vendor 2] INFO  core.TicketPool - Vendor 2 added 5 tickets. Total tickets in pool: 20
2024-12-12 00:48:59.371 [Customer 2] INFO  core.TicketPool - Customer 2 bought 5 tickets. Tickets remaining in pool: 15. Total Tickets Sold: 125
2024-12-12 00:48:59.372 [Customer 3] INFO  core.TicketPool - Customer 3 bought 5 tickets. Tickets remaining in pool: 10. Total Tickets Sold: 130
2024-12-12 00:48:59.372 [Vendor 3] INFO  core.TicketPool - Vendor 3 added 5 tickets. Total tickets in pool: 15
2024-12-12 00:48:59.374 [Vendor 4] INFO  core.TicketPool - Vendor 4 added 5 tickets. Total tickets in pool: 20
2024-12-12 00:48:59.375 [Customer 1] INFO  core.TicketPool - Customer 1 bought 5 tickets. Tickets remaining in pool: 15. Total Tickets Sold: 135
2024-12-12 00:48:59.376 [Customer 4] INFO  core.TicketPool - Customer 4 bought 5 tickets. Tickets remaining in pool: 10. Total Tickets Sold: 140
2024-12-12 00:49:00.369 [Vendor 1] INFO  core.TicketPool - Vendor 1 added 5 tickets. Total tickets in pool: 15
2024-12-12 00:49:00.372 [Vendor 2] INFO  core.TicketPool - Vendor 2 added 5 tickets. Total tickets in pool: 20
2024-12-12 00:49:00.373 [Customer 2] INFO  core.TicketPool - Customer 2 bought 5 tickets. Tickets remaining in pool: 15. Total Tickets Sold: 145
2024-12-12 00:49:00.373 [Customer 3] INFO  core.TicketPool - Customer 3 bought 5 tickets. Tickets remaining in pool: 10. Total Tickets Sold: 150
2024-12-12 00:49:00.373 [Vendor 3] INFO  core.TicketPool - Vendor 3 added 5 tickets. Total tickets in pool: 15
2024-12-12 00:49:00.375 [Vendor 4] INFO  core.TicketPool - Vendor 4 added 5 tickets. Total tickets in pool: 20
2024-12-12 00:49:00.376 [Customer 1] INFO  core.TicketPool - Customer 1 bought 5 tickets. Tickets remaining in pool: 15. Total Tickets Sold: 155
2024-12-12 00:49:00.377 [Customer 4] INFO  core.TicketPool - Customer 4 bought 5 tickets. Tickets remaining in pool: 10. Total Tickets Sold: 160
2024-12-12 00:49:01.370 [Vendor 1] INFO  core.TicketPool - Vendor 1 added 5 tickets. Total tickets in pool: 15
2024-12-12 00:49:01.373 [Vendor 2] INFO  core.TicketPool - Vendor 2 added 5 tickets. Total tickets in pool: 20
2024-12-12 00:49:01.376 [Customer 2] INFO  core.TicketPool - Customer 2 bought 5 tickets. Tickets remaining in pool: 15. Total Tickets Sold: 165
2024-12-12 00:49:01.376 [Vendor 4] INFO  core.TicketPool - Vendor 4 added 5 tickets. Total tickets in pool: 20
